Experiment,MAE,WMAPE,Bias,Delta
G: Noise Filtering,3.320952959939356,23.52104416459738,0.6632437029509036,-0.00904704006064394
I: Combined Best,3.320952959939356,23.52104416459738,0.6632437029509036,-0.00904704006064394
Baseline (v6-best),3.33,,,0.0
E: Residual,3.3334980804651857,23.609896472202376,0.6132390141979689,0.0034980804651856268
A: Per-Category,3.372987955505336,23.889588207098488,0.7071337807587552,0.04298795550533585
D: Two-Stage,3.431104963222554,24.301208823747,0.4429727037744295,0.10110496322255402
C: Store Clusters,3.431501336685733,24.30401618592453,0.6300114778924991,0.10150133668573291
H: Censored Demand,3.4670545618370703,24.55582612995751,-0.3589474508814741,0.1370545618370702
F: Outlier Treatment,3.5159499816498827,24.902133753924787,0.9805634397046868,0.18594998164988263
B: Stacking,3.589961285740628,25.426327614300824,1.4833038764571962,0.2599612857406277
