days,rows,MAE,WMAPE
31,188232,3.3707953499782857,23.874058817775783
33,200376,3.341892972196337,23.66935429095119
35,212520,3.320355998267108,23.51681611258132
37,224664,3.3294891637571284,23.581502843000195
39,236808,3.352139870260371,23.74192916473642
41,248952,3.3301831508842534,23.586418089335716
43,261096,3.347961874646542,23.712338014082434
45,273240,3.344024768424866,23.68445299118755
47,285384,3.3414573936093315,23.666269253823085
49,297528,3.3357320048861268,23.62571850750344
50,303600,3.3295030247759247,23.581601015313748
